dataset_id,name,domain,platform,environment,modalities,access,license_spdx,commercial_use,url,link_check_status,last_checked,notes_short,tags
darpa-subt-tunnel-circuit-reference-dataset,DARPA SubT Tunnel Circuit reference dataset,underground,ugv,tunnel,lidar;stereo;thermal?;imu;co2,open,NOASSERTION,unknown,https://github.com/subtchallenge/tunnel_urban_reference_datasets,OK_LARGE_FILES,2026-02-02,"Référence DARPA SubT (Tunnel/Urban circuits). Fichiers listés via S3 (rosbags, etc.) — la licence n’est pas explicitement indiquée dans le repo.",subt;underground;tunnel;rosbag
marble-subt-finals-kentucky-mega-cavern,MARBLE SubT Finals (Kentucky Mega Cavern),underground,ugv,cave,lidar;rgb;imu,unknown,Apache-2.0,yes,https://arpg.github.io/marble/,OK,2026-02-02,Très bon candidat 'méga-grotte' ; rosbags + vidéos,réseaux_souterrains;exploration_souterraine_subt
chilean-underground-mine-dataset-amtc,Chilean Underground Mine Dataset (AMTC),underground,ugv,mine,stereo_rgb;lidar_3d;radar_2d;wheel_encoders;rosbag,open,NOASSERTION,unknown,https://dataset.amtc.cl/,OK,2026-02-02,"Dataset mine (Husky A200) : stéréo (Bumblebee XB3), lidar 3D Riegl VZ-400, radar 2D FMCW, encodeurs; téléchargement via FTP + rosbags.",underground;mine;husky;lidar;radar;stereo
leica-blk-arc-sample-datasets-spot-trolley-slam,Leica BLK ARC sample datasets (Spot/Trolley SLAM),indoor_mapping,slam_cart_or_spot,building_indoor,lidar_slam,unknown,NOASSERTION,unknown,https://shop.leica-geosystems.com/au/leica-blk/blk-arc/dataset-downloads,OK_PARTIAL,2026-02-02,"Page Leica BLK ARC 'dataset downloads' visible, mais liens de téléchargement pas clairement exposés (probable login/JS).",lidar;slam;mobile_mapping;leica
robotic-lava-tube-mapping-4tu-tu-delft,Robotic Lava Tube Mapping (4TU/TU Delft),planetary_analogue,quadruped,lava_tube_cave,rgb;lidar;video;slam_posegraph;mesh;env_sensors,open,CC-BY-4.0,yes,https://data.4tu.nl/datasets/778253cc-3193-4f66-bc13-03b80380424e/1,OK_UPDATED_URL,2026-02-02,"Terrestrial lava-tube analogue (Sicily) for Rhizome 2.0/Mars habitat research; includes floor photos, phone 3D scans (OBJ), LiDAR point clouds, FPV video, SLAM maps/posegraphs, and synced temperature/humidity/light logs.",cave;lidar;quadruped;planetary_analogue;slam
subsurfacegeorobo-mine-d-argent-freiberg,SubSurfaceGeoRobo (mine d'argent Freiberg),underground,ugv,mine,radar;3d_lidar;2d_lidar;rgb;depth;imu;rosbag;calibration;pointcloud_gt,open,CC-BY-4.0,yes,https://doi.pangaea.de/10.1594/PANGAEA.975532,OK,2026-02-02,"Collected Sept 2024 in Freiberg silver mine (Germany) with a UGV; radars, 3D LiDAR, RGB+depth cameras, IMU, and 2D laser scanners in bag files; includes joint sensor calibration and a RIEGL ground-truth point cloud (<2 mm accuracy).",mine;slam;lidar;radar;calibration
tajogaite-volcano-drone-dataset-la-palma-2021,Tajogaite volcano drone dataset (La Palma 2021),aerial_robotics,uav,volcano,rgb;dem;timelapse;sar_radar;georeferenced,open,CC-BY-4.0,yes,https://zenodo.org/records/7401045,OK,2026-02-02,"Tajogaite/Cumbre Vieja (La Palma) 2021: DJI drone surveys (orthos/DEMs), time‑lapse camera records, and COSMO‑SkyMed SAR amplitude data; ~54 GB.",volcano;drone;photogrammetry;timelapse;sar
goose-goose-ex-inclut-spot,GOOSE / GOOSE-Ex (inclut Spot),urban_outdoor,multi,offroad_outdoor,rgb;nir;lidar;ins_gnss;semantic_labels;rosbag,open,CC-BY-SA-4.0,yes,https://goose-dataset.de/,OK_UPDATED_URL,2026-02-02,"GOOSE (German Outdoor & Offroad) dataset/spec: annotated LiDAR point clouds + pixel-wise RGB/NIR segmentation masks + accurate localization; multi-platform (MuCAR-3 off-road vehicle, ALICE, Spot; additional excavator data via GOOSE‑Ex).",offroad;segmentation;lidar;rgb;nir;rosbag
kimera-multi-data-campus-tunnels-etc,Kimera-Multi-Data (Campus Tunnels etc.),built_environment,ugv,campus_indoor_outdoor,rgb-d;stereo;imu;3d_lidar;wheel_odometry;rosbag;pose_gt;pointcloud_gt,request,MIT,yes,https://github.com/MIT-SPARK/Kimera-Multi-Data,OK_UPDATED_URL,2026-02-02,Multi-robot SLAM dataset on MIT campus with Clearpath Jackal rovers (Realsense D455 RGB‑D + Velodyne/Ouster LiDAR); Outdoor/Tunnels/Hybrid splits; compressed rosbags (rosbags via request form) + GT trajectories and reference point cloud (GPS + total-station-assisted LiDAR SLAM).,multi-robot;slam;rosbag;lidar;rgbd;indoor
m2p2-low-light-multimodal-off-road,M2P2 (low-light multimodal off-road),terrestrial,ground_vehicle,offroad_low_light,thermal;event_camera;stereo_rgb;imu;gps;lidar;rosbag,open,CC0-1.0,yes,https://dataverse.orc.gmu.edu/dataset.xhtml?persistentId=doi%3A10.13021%2Forc2020%2FSP577T,OK_UPDATED_URL,2026-02-02,"M2P2: extreme low-light off-road dataset (rosbags) with thermal + event + stereo RGB, IMU/GPS, and LiDAR used for ground truth; hosted on GMU Dataverse (CC0).",low_light;thermal;event_camera;offroad;rosbag
nclt-north-campus-long-term,NCLT (North Campus Long-Term),urban_mapping,ground_vehicle (segway robot),campus_outdoor,omni_rgb;3d_lidar;2d_lidar;gps;imu;odometry;pose_gt,open,CC-BY-NC-4.0,no,https://deepblue.lib.umich.edu/data/concern/data_sets/h128nf37h?locale=en,OK,2026-02-02,"NCLT: long-term dataset collected by a Segway robot on the University of Michigan North Campus; omnidirectional imagery, 3D+planar LiDAR, GPS and proprioceptive sensors for odometry, plus ground-truth pose (distribution via Globus).",long_term;campus;mapping;lidar;odometry;noncommercial
